time,type,text,avc_Pedestrian.lane_id,avc_Pedestrian.pedestrian_id,avc_Pedestrian.speed,avc_Pedestrian.confidence,avc_Pedestrian.detector_type,source.id
2025-03-01T22:27:20.081000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1406161,4.4,7,flircam,2
2025-03-02T04:25:00.471000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1406955,4.9,10,flircam,2
2025-03-02T04:41:51.651000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1406967,6,10,flircam,2
2025-03-02T05:08:52.149000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1406988,4.7,9,flircam,2
2025-03-02T05:08:52.340000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1406990,4.5,10,flircam,2
2025-03-02T05:09:55.436000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1406993,4.7,10,flircam,2
2025-03-02T05:09:57.039000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1406995,4.5,10,flircam,2
2025-03-02T06:00:16.895000+02:00,avc_PedestrianEvent,"Pedestrian detected",5,1407049,5.5,10,flircam,2
2025-03-02T07:19:49.742000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1407161,5.1,5,flircam,2
2025-03-02T07:29:25.451000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1407179,4.9,10,flircam,2
2025-03-02T07:32:43.015000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1407193,5.6,9,flircam,2
2025-03-02T07:36:49.796000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1407207,4.6,10,flircam,2
2025-03-02T07:42:22.731000+02:00,avc_PedestrianEvent,"Pedestrian detected",8,1407224,4.8,10,flircam,2
2025-03-02T07:51:17.331000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1407255,5.6,10,flircam,2
2025-03-02T10:27:03.623000+02:00,avc_PedestrianEvent,"Pedestrian detected",4,1408097,5.4,9,flircam,2
2025-03-02T10:27:20.774000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1408101,4.1,10,flircam,2
2025-03-02T10:27:55.943000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1408105,4.1,10,flircam,2
2025-03-02T10:31:00.565000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1408129,5.3,10,flircam,2
2025-03-02T10:31:01.029000+02:00,avc_PedestrianEvent,"Pedestrian detected",1,1408131,5.4,10,flircam,2
